craft functions: ['Trig_hcActions', 'Trig_hc3Actions']

============================== Trig_hc3Actions
  石头 x3                                                      => 铁
  铁 x3                                                       => 钢
  钢 x3                                                       => 银
  银 x3                                                       => 金
  金 x3                                                       => 金刚石
============================== Trig_hcActions
  植被 + 木头 + 石头                                               => 火窖
  木头 + 石头 x2                                                 => 干枯的井
  狼皮 + 木头                                                    => 帐篷
  木头 x2 + 石头                                                 => 工具磨坊
  蛇皮 + 植被 + 木头 + 石头                                          => 战争磨坊
  植被 x2 + 木头 + 石头                                            => 防具磨坊
  鼠皮 + 木头                                                    => 标志
  木头                                                         => 树桩（2）
  标志 + 木条 + 木头                                               => 工具工厂
  木条 + 木头                                                    => 仓库
  石头 x2 + 木头 x3                                              => 木头人
  植被 x2 + 木头                                                 => 茅草屋
  蛇皮 + 木头 x2 + 石头                                            => 训练营
