custom unit count: 51
id	name	HP	regenHP	mana	def	defType	defUp	spd	sight	nsight	dmg1	dice1	sides1	cool1	rangeN1	atkType1	targs1	weapTp1	level	bounty	isbldg	abils	upgrades	race	movetp	collision	modelScale
H000	|Cff00ff00幸存者	600	-0.699999988079071	225	1	hero	0	240	1250	650	25+2d6=32.0	2	6	2.22	75	hero	ground,structure,debris,item,ward	normal	5	8d3+30	0	AInv	R006,R007	human	foot	1	1.20000004768372
H007	天使	2000	0.25	255	2	hero	0	335	1800	800	100+2d6=107.0	2	6	2.2	100	hero	ground,structure,debris,item,ward	normal	5	8d3+30	0	A026,AInv	_	human	foot	1.1	1
H008	白天生物	100	0.25	255	2	hero	0	270	1800	800	0+2d6=7.0	2	6	2.2	100	hero	ground,structure,debris,item,ward	normal	5	8d3+30	0	AInv	_	human	foot	1.1	1
H00A	黑夜生物	5000	0.25	255	2	hero	0	325	1800	800	0+2d6=7.0	2	6	2.2	100	hero	ground,structure,debris,item,ward	normal	5	8d3+30	0	AInv	_	human	foot	1.1	1.20000004768372
h001	胡同树	800	3.25		25	normal	1	-	1600	1000	-+-d-=	-	-	-	-	normal	_	_	-	0d0+0	1	A00O,A00P,Ane2		critters	_	2.5	1
h002	仙人掌	600	0.200000002980232		50	normal	1	-	1600	1000	-+-d-=	-	-	-	-	normal	_	_	-	0d0+0	1	A00C,Ane2,A01S		critters	_	2.5	1
h003	树桩	1000	5		15	small	10	-	0	100	-+-d-=	-	-	-	-	normal	_	_	-	0d0+0	1	A00A,A016,A04K	R005	human	_	2.5	1.5
h004	木头人	250	-		0	fort	1	-	1600	1000	-+-d-=	-	-	-	-	normal	_	_	-	0d0+0	1	A00A,A04K	R005	human	_	2.5	1
h005	飞机	500000	-		1000	divine	2	400	1800	1100	13+1d2=14.5	1	2	2	500	pierce	air	instant	1	6d3+20	0			human	fly	1.5	2
h006	骆驼	600	1		2	none	4	420	1400	800	-+-d-=	-	-	0	-	normal	_	normal	1	0d0+0	0	A041,A01B,Awan	R008	critters	horse	1.4	1.25
h009	亡灵	25	-0.5		1	medium	2	522	800	600	4+1d2=5.5	1	2	2	90	normal	ground,structure,debris,item,ward	normal	1	5d3+15	0	A06O,A06P,Avul,Apiv		human		1	2.5
n000	蜘蛛	50	0.5		0	none	2	200	1400	800	10+1d2=11.5	1	2	1.35	40	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A003,ACwb,Awan	R008	critters	foot	0.800000011920929	0.360000014305115
n001	沙虫	10	0.5		0	none	2	220	350	350	4+2d-=	2	-	1.29999995231628	10	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A005,Awan	R008	critters	foot	0.349999994039536	0.319999992847443
n002	沙鼠	50	0.5		0	none	2	200	350	350	10+1d-=	1	-	1.39999997615814	32	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A00D,Awan	R008	critters	foot	0.5	0.800000011920929
n003	蝎子	50	0.5		1	none	3	200	1400	800	12+1d3=14.0	1	3	1.6	50	normal	ground,ward,structure,debris,item	normal	1	0d0+0	0	A00D,A002,Awan	R008	critters	foot	0.800000011920929	0.379999995231628
n004	白颈鼠	50	0.5		0	none	3	200	350	350	10+1d-=	1	-	1.29999995231628	30	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A00D,Awan	R008	critters	foot	0.349999994039536	0.699999988079071
n005	蜥蜴	50	0.5		0	none	1	220	350	350	20+1d-=	1	-	1.39999997615814	45	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A00D,Awan	R008	critters	foot	0.800000011920929	1.20000004768372
n006	眼镜蛇	80	1	200	0	none	3	182	1400	800	25+1d4=27.5	1	4	1.5	60	normal	ground,structure,debris,air,item,ward	normal	1	0d0+0	0	A00D,A001,Awan	R008	critters	amph	0.5	0.449999988079071
n007	秃鹰	25	0.5		0	none	2	100	350	350	-+-d-=	-	-	0	-	normal	_	normal	1	0d0+0	0	Awan	R008	critters	fly	1	1
n008	野兔	25	0.5		0	none	1	100	350	350	-+-d-=	-	-	0	-	normal	_	normal	1	0d0+0	0	A00D,Awan	R008	critters	foot	0.9	1
n009	干枯的井	500	0.100000001490116		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04K,A004,A00A	R005	human	_	1.5	1
n00A	仓库	500	0.200000002980232		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A01B,A00A,A04K	R005	human	_	1.20000004768372	0.5
n00B	帐篷	500	0.0199999995529652		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A01C,A00A,A009,A04K	R005	human	_	3	1
n00C	火窖	100	-0.25		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A03Z,A027,A032,A01C,A00A	_	human	_	1.79999995231628	1
n00D	狼	850	0.5		5	none	4	350	1400	800	42+2d3=46.0	2	3	1.35	100	normal	ground,structure,debris,item,ward	normal	2	0d0+0	0	A041,A01C,Awan,ACro	R008	creeps	foot	1.1	0.75
n00E	标志	50	-		0	fort	2	-	1500	600	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	0	A04K	R005	human	_	0.800000011920929	1
n00F	战争磨坊	500	0.200000002980232		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04K,A01B,A00A,A019,A04C,A04L,A04I,A04F,A04O	R005	human	_	3	0.600000023841858
n00G	丝织磨坊	500	0.5		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A01B,A00A,A015,A04E,A04N,A04K	R005	human	_	3	0.600000023841858
n00H	防具磨坊	500	0.25		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04J,A04G,A04H,A04K,A01B,A00A,A018,A04D,A04M	R005	human	_	3	0.600000023841858
n00I	工具工厂	500	0.100000001490116		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A01B,A04R,A013,A00A,A04K	R005	human	_	3	0.600000023841858
n00J	大灰狼	400	0.5	400	3	none	2	425	1800	1800	20+1d5=23.0	1	5	1.25	90	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A01R,A04S	R008,R002	human	foot	1.5	1.2
n00K	僵尸	450	0.800000011920929		1	medium	2	425	1800	1800	20+1d2=21.5	1	2	1.35	100	chaos	ground,structure,debris,item,ward	normal	1	1d3+3	0	A01X	R004	human	foot	1	1.5
n00L	没有火的火窖	50	-		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04K,A028,A01C,A00A	_	human	_	1.79999995231628	1
n00M	茅草屋	500	0.0199999995529652		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04K,A029,A01C,A00A	R005	human	_	3	1
n00N	僵尸王	20000	1		50	medium	2	522	1400	800	1000+5d5=1015.0	5	5	0.600000023841858	110	chaos	ground,structure,debris,item,ward	normal	2	6d3+20	0	A041,A01X	R004	human	foot	2.5	4
n00O	狼王	10000	0.5	400	28	none	2	522	1800	1800	850+5d5=865.0	5	5	1.25	100	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A041,A01R	R008,R002	human	foot	2.20000004768372	2.09999990463257
n00P	独眼狼	320	0.5	400	3	none	2	444	1800	1800	20+2d5=26.0	2	5	1.35	80	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A01R,A01C	R008,R002	human	foot	1.3	0.800000011920929
n00Q	小白狼	240	0.5	400	2	none	2	250	1800	1800	15+3d5=24.0	3	5	1.35	50	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A041,A02F,A01R	R008,R002	human	foot	1	0.600000023841858
n00R	恶狼	450	0.5	400	3	none	2	522	1800	1800	30+3d5=39.0	3	5	1.22000002861023	100	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	ACro,A01R,A01B	R008,R002	human	foot	1.60000002384186	1.25
n00S	狼仔	80	0.5	400	3	none	2	240	1800	1800	10+1d1=11.0	1	1	1.79999995231628	50	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A01R	R008,R002	human	foot	0.800000011920929	0.400000005960464
n00T	母狼	380	0.5	400	3	none	2	325	1800	1800	20+4d5=32.0	4	5	1.25	90	normal	ground,structure,debris,item,ward	normal	6	4d3+40	0	A02H,A01R,A04S	R008,R002	human	foot	1.5	1.2
n00U	沙尘暴	100	-0.800000011920929		0	medium	2	350	350	350	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	0	A02J,A02I,Atwa,Avul	R008	critters		0.5	1.27999997138977
n00V	恶魔感染体	350	0.800000011920929		1	medium	2	370	1800	1800	20+1d3=22.0	1	3	1.45000004768372	100	chaos	ground,structure,debris,item,ward	normal	1	1d3+3	0	A01X	R004	human	foot	1.79999995231628	1.25
n00W	幽灵	250	1.25		1	medium	2	522	1800	1800	10+2d2=13.0	2	2	1.36000001430511	265	chaos	ground,structure,debris,item,ward	missile	1	1d3+3	0	A041,A01X,Apiv	R004	human	hover	1	1.05000007152557
n00X	死亡感染体	350	1.5		1	medium	2	370	1800	1800	20+2d2=23.0	2	2	1.3400000333786	100	chaos	ground,structure,debris,item,ward	normal	1	1d3+3	0	A01X	R004	human	foot	2	1.5
n00Y	母体	850	1		2	medium	2	450	1800	1800	25+3d2=29.5	3	2	1.10000002384186	100	chaos	ground,structure,debris,item,ward	normal	1	1d3+3	0	ACuf,A01X	R004	human	foot	1.25	1.64999997615814
n00Z	丧尸	520	0.5		1	medium	2	425	1800	1800	55+2d4=60.0	2	4	3.20000004768372	80	chaos	ground,structure,debris,item,ward	normal	1	1d3+3	0	A01X,ANta	R004	human	foot	1.20000004768372	1.25
n010	训练营	500	0.0199999995529652		0	fort	2	-	0	0	-+-d-=	-	-	0	-	normal	_	_	-	0d0+0	1	A04K,A00A	R005	human	_	3	1
o000	防御塔	600	0.5		5	fort	1	-	800	800	30+1d5=33.0	1	5	1.20000004768372	700	pierce	ground,structure,debris,air,item,ward	missile	1	0d0+0	1	A04K,A00A,A020,A021,A022	R005	human	_	2.75	1
u000	甲壳虫	20	2		2	none	5	220	1200	800	7+1d2=8.5	1	2	1.5	28	normal	ground,structure,debris,item,ward	normal	1	0d0+0	0	A00D,Awan	R008	critters	foot	0.5	0.400000005960464
u001	僵尸终结者	4800	2.79999995231628		8	medium	3	280	1400	800	30+4d7=46.0	4	7	2	128	chaos	ground,structure,debris,item,ward	normal	4	8d3+30	0	A041,ACbb,A01X	R004	human	foot	2.1	0.9
